,title,year,genres,description,rating
41,Khaleja,2010,"Action, Comedy, Fantasy            ","    When a mysterious illness ravages a remote village, the villagers embrace a reluctant taxi driver as their savior.",7.5
42,Yennai Arindhaal,2015,"Action, Thriller            ","    Sathyadev, a sincere police officer, tries to stop an organ trafficking racket. But he is unaware that the man performing the illegal trade is the same person who killed his beloved.",7.3
43,Thalaivaa,2013,"Action, Drama, Thriller            ","    A son steps into his father's shoes, has to win a bloody war before he becomes the leader.",6.1
44,Kaala,2018,"Action, Drama            ",    Kaala is about the life of Nellai / Tirunelveli based Tamils who live in large number in Mumbai.,6.7
45,Bairavaa,2017,"Action, Thriller            ","    Bairavaa, a gallant debt collector, takes on a violent criminal masquerading as a philanthropist in the education field.",5.9
46,Goodachari,2018,"Action, Thriller            ","    A young NSA agent is framed for the murder of his bosses making him realize that now his mission is darker than expected and has some personal scores to settle regarding his father's death, a former NSA agent.",7.8
47,Puli,2015,"Action, Adventure, Fantasy            ",    A virtuous soldier tries to save people from an evil queen and a throne-seeking commander.,4.4
48,Pulimurugan,2016,Action            ,"    When a small village near a forest is under the threat of man eating tigers and a drug mafia, the villagers seek the help of an unstoppable force, a hunter invincible.",6.8
49,Veeram,2014,Action            ,"    Vinayagam, an honest man, uses violence to settle disputes. He decides to mend his ways for his lover's sake. Hell breaks loose when he learns about a gang of rowdies following his lover's family.",6.5
50,Vedam,2010,"Action, Drama            ",    A terrorist threat puts five people in jeopardy.,8.1
51,Yevadu,2014,"Action, Thriller            ","    A young man receives a life-saving face transplant after he is critically injured and his girlfriend murdered in a vicious attack. Unrecognisable to his enemies, he sets out for revenge.",5.6
52,Aravindha Sametha Veera Raghava,2018,"Action, Drama            ",    A young scion of a powerful family with a long history of violence decides to put an end to the bloodshed which leads him to a path of self discovery.,7.7
53,Billa,2007,"Action, Thriller            ","    A cop chases international gangster Billa and happens to be the only one to see him die. He places Velu, Billa's lookalike, inside the gang to get information. But Velu is framed for killing the cop.",7.2
